,time,cell,cell_state,IFNg,transferable_cytotoxic_packets,X,Y,experiment_id
83,1200.0,tcell_3,PD1n,1.2808131356247914,400.0,!units[882.5618273431741 micrometer],!units[541.277817808674 micrometer],tumor_tcell_20230626.211422
84,1200.0,tcell_4,PD1n,0.0010052220151509305,10.500000000000002,!units[490.80789576121043 micrometer],!units[348.61721053570784 micrometer],tumor_tcell_20230626.211422
85,1200.0,tcell_5,PD1n,1.6136815974677206,400.0,!units[577.4317252778684 micrometer],!units[824.0096090916724 micrometer],tumor_tcell_20230626.211422
86,1200.0,tcell_6,PD1n,0.5824178325317011,9.3,!units[578.3192885034132 micrometer],!units[814.022882814215 micrometer],tumor_tcell_20230626.211422
87,1200.0,tcell_7,PD1n,0.5939340758208099,400.0,!units[496.2425890653106 micrometer],!units[853.037735525455 micrometer],tumor_tcell_20230626.211422
88,1200.0,tcell_8,PD1n,1.4595766229923552,400.0,!units[649.8812524599141 micrometer],!units[386.9378644823592 micrometer],tumor_tcell_20230626.211422
89,1200.0,tcell_9,PD1p,1.1589754000891348,17.1,!units[854.3109467957937 micrometer],!units[590.0113252836463 micrometer],tumor_tcell_20230626.211422
90,1200.0,tcell_10,PD1p,0.13942751245822596,400.0,!units[631.0550918591221 micrometer],!units[833.3761205037282 micrometer],tumor_tcell_20230626.211422
91,1200.0,tcell_11,PD1p,0.3499028198233378,5.100000000000001,!units[577.5570108661822 micrometer],!units[857.2637210589894 micrometer],tumor_tcell_20230626.211422
92,1200.0,tcell_12,PD1p,0.07273364314488262,15.3,!units[566.1853466375226 micrometer],!units[347.1564720364425 micrometer],tumor_tcell_20230626.211422
93,1200.0,tcell_13,PD1p,0.5386483961887761,11.0,!units[722.0199078110845 micrometer],!units[373.7728602352992 micrometer],tumor_tcell_20230626.211422
94,1200.0,tcell_14,PD1p,0.3398508307550567,400.0,!units[833.524358110055 micrometer],!units[494.51366119494077 micrometer],tumor_tcell_20230626.211422
95,1200.0,tcell_15,PD1p,0.1286345613619491,400.0,!units[377.79671618128634 micrometer],!units[477.5893847140954 micrometer],tumor_tcell_20230626.211422
96,1200.0,tcell_16,PD1p,0.15273352191096745,120.6,!units[683.2840020658342 micrometer],!units[821.4322591791818 micrometer],tumor_tcell_20230626.211422
97,1200.0,tcell_17,PD1p,0.0008164319176777955,17.1,!units[356.5121926339199 micrometer],!units[715.9039726246688 micrometer],tumor_tcell_20230626.211422
98,1200.0,tcell_18,PD1p,0.1828061628050728,0.0,!units[460.4008372265097 micrometer],!units[812.1837494959752 micrometer],tumor_tcell_20230626.211422
99,1200.0,tcell_19,PD1p,0.03165343492180762,400.0,!units[814.186162978013 micrometer],!units[706.8736144455953 micrometer],tumor_tcell_20230626.211422
100,1200.0,tcell_20,PD1p,0.05987502980520367,9.3,!units[815.6732258862031 micrometer],!units[635.9785861744384 micrometer],tumor_tcell_20230626.211422
101,1200.0,tcell_21,PD1p,0.1352343913340755,17.1,!units[847.6168779417151 micrometer],!units[629.594176670064 micrometer],tumor_tcell_20230626.211422
102,1200.0,tcell_22,PD1p,0.11346151333783713,0.0,!units[372.77872403879627 micrometer],!units[547.7128254638218 micrometer],tumor_tcell_20230626.211422
103,1200.0,tcell_23,PD1p,0.13413784621083963,400.0,!units[841.6920661099275 micrometer],!units[677.6426220871465 micrometer],tumor_tcell_20230626.211422
104,1200.0,tcell_24,PD1p,0.48977642315561587,5.100000000000001,!units[837.4251210333243 micrometer],!units[504.95512112344545 micrometer],tumor_tcell_20230626.211422
105,1200.0,tcell_25,PD1p,0.19204999586314908,400.0,!units[448.3334122886231 micrometer],!units[794.1817683259146 micrometer],tumor_tcell_20230626.211422
106,1200.0,tcell_26,PD1p,0.011757521417822369,0.0,!units[546.4431279477946 micrometer],!units[323.5814733775122 micrometer],tumor_tcell_20230626.211422
107,1200.0,tcell_27,PD1p,0.21821580783218084,1.8000000000000005,!units[817.1405635249727 micrometer],!units[507.09205351767787 micrometer],tumor_tcell_20230626.211422
108,1200.0,tcell_28,PD1p,0.11509944908819286,17.1,!units[635.6768942676061 micrometer],!units[848.6930871954045 micrometer],tumor_tcell_20230626.211422
109,1200.0,tcell_29,PD1p,1.22128319988991,0.0,!units[547.4744315686373 micrometer],!units[818.0789420924295 micrometer],tumor_tcell_20230626.211422
110,1200.0,tcell_30,PD1p,0.15625976147060666,0.0,!units[765.2123185061066 micrometer],!units[417.3517961299735 micrometer],tumor_tcell_20230626.211422
111,1200.0,tcell_31,PD1p,0.8566149780907881,2.5,!units[834.6565565365522 micrometer],!units[554.6578105504711 micrometer],tumor_tcell_20230626.211422
112,1200.0,tcell_32,PD1p,0.12034030256487042,242.89999999999992,!units[763.2747329926596 micrometer],!units[407.8135255991019 micrometer],tumor_tcell_20230626.211422
113,1200.0,tcell_33,PD1p,0.19446945392568918,400.0,!units[681.2065572552372 micrometer],!units[852.0643314878039 micrometer],tumor_tcell_20230626.211422
114,1200.0,tcell_34,PD1p,0.06052440550155963,16.1,!units[859.2463887772317 micrometer],!units[673.979101045927 micrometer],tumor_tcell_20230626.211422
115,1200.0,tcell_35,PD1p,0.9070225890484342,400.0,!units[533.0026727339846 micrometer],!units[857.9564656795702 micrometer],tumor_tcell_20230626.211422
116,1200.0,tcell_36,PD1p,0.1621022114197659,362.59999999999985,!units[756.1840649060905 micrometer],!units[416.3124495733727 micrometer],tumor_tcell_20230626.211422
117,1200.0,tcell_37,PD1p,0.45909634251228665,0.0,!units[486.7505125411614 micrometer],!units[840.5828338345036 micrometer],tumor_tcell_20230626.211422
