,time,cell,cell_state,tumor_debris,X,Y,experiment_id
58,16800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
59,16800.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
60,17400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
61,17400.0,dendritic_3,inactive,0.0,!units[789.6519742046577 micrometer],!units[771.3300505111398 micrometer],tumor_tcell_20230626.211422
62,18000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
63,18000.0,dendritic_3,inactive,0.0,!units[790.0308689965583 micrometer],!units[771.2521382931178 micrometer],tumor_tcell_20230626.211422
64,18600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
65,18600.0,dendritic_3,inactive,0.0,!units[789.9769943229882 micrometer],!units[770.9561587345662 micrometer],tumor_tcell_20230626.211422
66,19200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
67,19200.0,dendritic_3,inactive,0.0,!units[791.1977490792384 micrometer],!units[766.7673010632749 micrometer],tumor_tcell_20230626.211422
68,19800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
69,19800.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
70,20400.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
71,20400.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
72,21000.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
73,21000.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
74,21600.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
75,21600.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
76,22200.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
77,22200.0,dendritic_3,inactive,0.0,!units[791.5773444158414 micrometer],!units[763.8541485966913 micrometer],tumor_tcell_20230626.211422
78,22800.0,dendritic_0,inactive,0.0,!units[596.1606031981391 micrometer],!units[418.2400323961678 micrometer],tumor_tcell_20230626.211422
