,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
60420,16.664891601562488,41.65269274902346,4085.047329656619,4688.477935858717,3734.2794267387785,8012.206686355461,Cntrl_d3,PDL1n,0
60422,92.50162622070314,64.5980577392578,3131.9273873396114,1220.0786965665588,5899.495670700942,6896.269918983279,Cntrl_d3,PDL1n,0
60424,65.06001159667971,53.0489812011719,10217.373694507985,1416.878766244773,8814.23502868144,13241.901331874464,Cntrl_d3,PDL1n,0
60426,50.748968261718744,17.9229542236327,3589.9069762182157,4550.167344618572,3416.052606010591,8106.388548176173,Cntrl_d3,PDL1n,0
60429,39.15359509277346,22.265725463867284,2985.32774233101,634.8221890360566,2822.972443884433,974.2096738605467,Cntrl_d3,PDL1n,0
60432,104.20307666015623,54.44989147949218,6660.835730019348,4013.897559238509,6328.121138496292,10332.700733365176,Cntrl_d3,PDL1n,0
60443,129.75660791015628,50.48108288574218,5839.391167622957,1744.393746806014,4312.199525311909,6653.782452347915,Cntrl_d3,PDL1n,0
60449,163.08419946289064,67.10677368164062,4049.919210595683,1897.8994078768192,3751.9868125876196,5353.48275820837,Cntrl_d3,PDL1n,0
60452,19.939710937500024,28.196894531249995,2152.7372552390857,3101.0914246274074,2000.715855282845,5490.019612802277,Cntrl_d3,PDL1n,0
60453,168.8331733398437,37.23026000976563,1623.9739982913215,4436.572619290257,2182.0653468070777,7097.377074520121,Cntrl_d3,PDL1n,0
60456,24.744390014648445,39.382086914062484,2432.65955421571,3059.558087640225,1941.1869463501462,4490.6629157348,Cntrl_d3,PDL1n,0
60458,61.52609680175783,42.14060217285157,3823.4375420196166,3345.050802230639,3836.581916104998,8098.421174486849,Cntrl_d3,PDL1n,0
60463,52.54703552246093,41.13045202636721,4159.997920998449,2406.748707084495,3707.5630972874483,6260.585716767984,Cntrl_d3,PDL1n,0
60465,130.53555102539065,27.099627563476588,4388.625957433074,3238.7141433664237,3584.557581329149,7862.532869189982,Cntrl_d3,PDL1n,0
60469,22.952351440429766,87.3232145996094,2265.2810205781593,3273.3896612712892,2887.4976352770304,9175.669805386126,Cntrl_d3,PDL1n,0
60470,141.60762499999998,40.99823510742186,4197.591283903267,2792.4708517448025,3879.137117925162,6885.564940590278,Cntrl_d3,PDL1n,0
60475,12.744726684570253,76.3171340332031,2133.5992178000183,97.94389781660713,1248.2699545628734,751.371527236108,Cntrl_d3,PDL1n,0
