,AbsoluteY,AbsoluteX,H2Db,H2Kb,PD1,PDL1,Region,Cell Type,IFNg
77590,133.64985516357422,2.4431280517577534,5321.926850505865,8319.122610400524,5625.561171082032,14270.486679161815,Tcelld3,PDL1n,0
77593,164.76241064453126,25.16308459472657,5411.866502233645,7822.334346238348,5100.203887186925,15621.216119948374,Tcelld3,PDL1n,0
77594,140.21394427490236,105.17429345703124,10094.901135974233,29680.168918904525,2143.048612569069,38442.85889147385,Tcelld3,PDL1n,0
77595,147.85960736083985,63.14022009277346,4265.42874944452,6243.679095077721,4091.961574046087,11534.729858658902,Tcelld3,PDL1n,0
77599,95.50223669433592,48.56423669433593,2671.4160591509917,13034.702385611252,2140.8930871972198,20941.24818068267,Tcelld3,PDL1n,0
77600,94.6601534423828,62.67739184570314,6000.0767059050495,8306.256022705418,4189.982374498976,18846.50032154391,Tcelld3,PDL1n,0
77602,142.22674322509766,82.55641040039063,3383.8722856631525,10111.112750783313,2480.309973878706,13960.176825995872,Tcelld3,PDL1n,0
77603,92.47659539794921,52.49765551757815,2740.6482293128875,3566.2328330440923,2606.2891092074674,8598.143183095603,Tcelld3,PDL1n,0
77609,159.46949999999998,25.385363647460963,6271.732976155487,7447.953668036579,4871.571021596173,15631.180057068143,Tcelld3,PDL1n,0
77610,115.84590130615237,84.06703356933593,8090.433090884914,24983.119214981518,3925.2685906840793,36382.53759148587,Tcelld3,PDL1n,0
77611,132.3206908569336,58.23871386718753,4467.485046486009,8242.360085583548,3124.858855478823,17973.317701265296,Tcelld3,PDL1n,0
77612,133.63011236572265,49.30958483886718,4183.924198721875,8266.434948738199,4345.387202176223,19715.119873982385,Tcelld3,PDL1n,0
77613,161.78573516845705,18.432033081054783,5938.053815499021,8664.353679789818,6267.061744155689,20036.54534624688,Tcelld3,PDL1n,0
77614,169.11226904296876,3.3213374023437723,3465.6669984198347,3882.5951748922034,4924.666019449608,13565.637248108706,Tcelld3,PDL1n,0
77615,178.5050316772461,5.678737915038994,4573.1606991483,3397.474105049394,4798.520989779269,12951.662133193373,Tcelld3,PDL1n,0
77616,131.7673862915039,15.224863891601501,8089.762846811498,8392.050583216116,6397.446622131084,10029.38121220983,Tcelld3,PDL1n,0
77617,113.36707568359373,2.5592838134764975,3923.0579512970958,2924.068785231911,2727.523005725972,10950.116734192545,Tcelld3,PDL1n,0
77618,155.1528453979492,17.755577636718726,6024.115572542724,6053.739289126743,4538.03934678896,19244.043004590927,Tcelld3,PDL1n,0
77619,173.00309588623048,80.63031408691404,2559.5279920021185,4614.742387239105,2452.515514718572,12659.413391059537,Tcelld3,PDL1n,0
77620,138.93715130615237,50.44827026367187,5712.19780880885,13799.640884717774,3294.5966606499337,27607.83955503852,Tcelld3,PDL1n,0
77621,132.55394580078126,79.16451489257815,4933.486406597303,8457.096346430557,2642.64199138539,28451.36636436333,Tcelld3,PDL1n,0
77622,154.0582476196289,91.45525793457034,6217.492322178007,28766.45843426988,3426.4404545717102,33069.601659289525,Tcelld3,PDL1n,0
77624,139.09056066894533,102.87612133789065,5351.198834765242,16532.973752736372,2919.300351305199,20842.283770644714,Tcelld3,PDL1n,0
77626,140.49549774169924,102.3888562011719,6540.625528594737,19415.225622170587,3576.4118755394625,30424.3415542756,Tcelld3,PDL1n,0
77627,163.36117822265624,65.11859570312498,5634.602133612458,19493.20338840622,3175.843838797477,17190.33089595868,Tcelld3,PDL1n,0
77629,137.79961639404297,79.98510656738284,3321.839572063263,3173.629603025695,3231.7116945062353,13598.28082419601,Tcelld3,PDL1n,0
77630,129.82113299560547,59.33101062011718,3342.6666321236435,2867.2468075223696,1690.3394704377108,6372.932529799222,Tcelld3,PDL1n,0
77632,118.89915490722655,105.43702453613281,3419.011361363393,3297.4719426587944,4878.792930797923,6980.073662972592,Tcelld3,PDL1n,0
77633,162.34812878417972,72.66536071777347,5985.036262658906,32093.40099290835,1800.856849406421,22507.660752050117,Tcelld3,PDL1n,0
77636,348.5957930908203,13.75064294433605,13325.024947296673,3347.4516121365345,9179.19156946228,8053.605877486425,Tcelld3,PDL1n,0
77638,348.78631799316406,23.89991369628899,6153.393337531039,4712.9483257015145,4766.359875909178,8038.174990973495,Tcelld3,PDL1n,0
77640,322.2976500244141,2.794126464843771,2549.288445847806,4339.094342032471,2980.9376231697197,7444.864071562822,Tcelld3,PDL1n,0
77646,267.1730432128906,16.19488415527354,5521.189582339436,5817.2109576901,5569.74946987385,19784.867433820742,Tcelld3,PDL1n,0
77647,336.8806745605468,3.4763804931639584,9195.120758505562,2966.33281815534,7258.453669871536,8218.502310806989,Tcelld3,PDL1n,0
77648,366.631,71.05745019531253,2548.625191354636,4443.45808814958,2265.7623453380925,5572.869325152398,Tcelld3,PDL1n,0
77650,286.67211645507814,19.85010900878899,3133.1295951420993,3317.1332944569467,3308.0252937684804,7415.533941168589,Tcelld3,PDL1n,0
77651,321.56136791992185,71.87887023925782,4046.143326001698,3543.878325527066,4219.761876903389,7734.560469311287,Tcelld3,PDL1n,0
